key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,key_resp_22.keys,key_resp_22.rt,Colour1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,Catch,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5eacad39ef271f3206810eeb,5ff3a3eaf4e2339dadb467c2,2021-01-04_17h26.04.118,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,9,FF,47,90,1,0,0,response1disk_5,1,7,5.86105,-8,-2,1,0,0,rectangle_8,-8,-2,1,0,0,5,-8,-2,1,0,0,0,5,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5eacad39ef271f3206810eeb,5ff3a3eaf4e2339dadb467c2,2021-01-04_17h26.04.118,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,1,PF,-53,96,1,0,0,response7disk_5,1,0,8.099065,-8,4,1,0,0,rectangle_8,-8,4,1,0,0,5,-8,4,1,0,0,0,6,6,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5eacad39ef271f3206810eeb,5ff3a3eaf4e2339dadb467c2,2021-01-04_17h26.04.118,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,7,3.595235,,,,,,,,,,,,,,,,,,,,,,,space,3.972755,1,27,78,1,0,0,response1disk,4,1,-18,-2,1,0,0,rectangle,-18,-2,1,0,0,,1,0,0.00559,-18,-2,1,0,0,0,0,0,135,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5eacad39ef271f3206810eeb,5ff3a3eaf4e2339dadb467c2,2021-01-04_17h26.04.118,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,7,4.834635,,,,,,,,,,,,,,,,,,,,,,,,,8,43,74,1,0,0,response1disk,3,2,-5,5,1,0,0,rectangle,-5,5,1,0,0,,5,0,0.00312,-5,5,1,0,0,0,1,1,71,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5eacad39ef271f3206810eeb,5ff3a3eaf4e2339dadb467c2,2021-01-04_17h26.04.118,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,3,4.78255,,,,,,,,,,,,,,,,,,,,,,,,,3,-22,-59,1,0,0,response5disk,5,3,26,6,1,0,0,rectangle,26,6,1,0,0,,6,0,0.00135,26,6,1,0,0,0,2,2,66,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5eacad39ef271f3206810eeb,5ff3a3eaf4e2339dadb467c2,2021-01-04_17h26.04.118,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,7,2.07643,,,,,,,,,,,,,,,,,,,,,,,,,9,46,89,1,0,0,response1disk,3,4,7,2,1,0,0,rectangle,7,2,1,0,0,,7,0,0.00158,7,2,1,0,0,0,3,3,141,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5eacad39ef271f3206810eeb,5ff3a3eaf4e2339dadb467c2,2021-01-04_17h26.04.118,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,3,3.44896,,,,,,,,,,,,,,,,,,,,,,,,,8,-27,-63,1,0,0,response5disk,5,5,0,-5,1,0,0,rectangle,0,-5,1,0,0,,0,0,0.002845,0,-5,1,0,0,0,4,4,98,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5eacad39ef271f3206810eeb,5ff3a3eaf4e2339dadb467c2,2021-01-04_17h26.04.118,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,4,3.6721,,,,,,,,,,,,,,,,,,,,,,,,,5,42,-67,1,0,0,response3disk,6,6,12,-6,1,0,0,rectangle,12,-6,1,0,0,,4,0,0.00271,12,-6,1,0,0,0,5,5,12,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5eacad39ef271f3206810eeb,5ff3a3eaf4e2339dadb467c2,2021-01-04_17h26.04.118,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,5,2.67274,,,,,,,,,,,,,,,,,,,,,,,,,8,75,-23,1,0,0,response3disk,9,7,8,-9,1,0,0,rectangle,8,-9,1,0,0,,5,0,0.00378,8,-9,1,0,0,0,6,6,42,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5eacad39ef271f3206810eeb,5ff3a3eaf4e2339dadb467c2,2021-01-04_17h26.04.118,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,7,3.567725,,,,,,,,,,,,,,,,,,,,,,,,,4,55,83,1,0,0,response1disk,2,8,7,10,1,0,0,rectangle,7,10,1,0,0,,2,0,0.00141,7,10,1,0,0,0,7,7,108,1,,,,,,,,,,,,,,,,,,,,,
