key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,mouse_6.clicked_name,catchprac,key_resp_22.keys,key_resp_22.rt,Colour1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,Catch,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f1a3c1d94d028134ad46340,5ff3a3e383f6af98fc097e41,2021-01-05_01h25.37.880,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,4,PF,-111,42,1,0,0,response7disk_5,3,1,1.40795,-25,-8,1,0,0,rectangle_8,-96,-49,1,0,0,2,9,1,1,0,0,0,5,5,4,1,response5disk_7,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f1a3c1d94d028134ad46340,5ff3a3e383f6af98fc097e41,2021-01-05_01h25.37.880,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,8,PF,-81,-52,1,0,0,response5disk_5,7,2,1.89444,19,18,1,0,0,rectangle_8,19,18,1,0,0,2,19,18,1,0,0,0,6,6,1,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f1a3c1d94d028134ad46340,5ff3a3e383f6af98fc097e41,2021-01-05_01h25.37.880,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,1,1.21781,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.6859,2,-85,49,1,0,0,response7disk,8,1,-6,6,1,0,0,rectangle,-6,6,1,0,0,,1,0,0.001055,-6,6,1,0,0,0,0,0,52,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f1a3c1d94d028134ad46340,5ff3a3e383f6af98fc097e41,2021-01-05_01h25.37.880,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,2,1.31557,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,-101,-55,1,0,0,response5disk,5,2,-2,7,1,0,0,rectangle,-2,7,1,0,0,,7,0,0.00063,-2,7,1,0,0,0,1,1,116,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f1a3c1d94d028134ad46340,5ff3a3e383f6af98fc097e41,2021-01-05_01h25.37.880,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,4,1.80594,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,61,-100,1,0,0,response3disk,7,3,-7,9,1,0,0,rectangle,-7,9,1,0,0,,2,0,0.00076,-7,9,1,0,0,0,2,2,118,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f1a3c1d94d028134ad46340,5ff3a3e383f6af98fc097e41,2021-01-05_01h25.37.880,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,1,1.21875,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,-81,45,1,0,0,response7disk,8,4,12,2,1,0,0,rectangle,12,2,1,0,0,,5,0,0.000545,12,2,1,0,0,0,3,3,6,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f1a3c1d94d028134ad46340,5ff3a3e383f6af98fc097e41,2021-01-05_01h25.37.880,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,7,1.62471,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,49,77,1,0,0,response1disk,8,5,-3,4,1,0,0,rectangle,-3,4,1,0,0,,2,0,0.000725,-3,4,1,0,0,0,4,4,64,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f1a3c1d94d028134ad46340,5ff3a3e383f6af98fc097e41,2021-01-05_01h25.37.880,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,1,1.213975,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,-93,32,1,0,0,response7disk,6,6,12,6,1,0,0,rectangle,12,6,1,0,0,,0,0,0.00056,12,6,1,0,0,0,5,5,122,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f1a3c1d94d028134ad46340,5ff3a3e383f6af98fc097e41,2021-01-05_01h25.37.880,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,1,2.13006,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-112,25,1,0,0,response7disk,7,7,-2,0,1,0,0,rectangle,-2,0,1,0,0,,7,0,0.001005,-2,0,1,0,0,0,6,6,150,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f1a3c1d94d028134ad46340,5ff3a3e383f6af98fc097e41,2021-01-05_01h25.37.880,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,7,2.406215,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,53,97,1,0,0,response1disk,7,8,-25,3,1,0,0,rectangle,-25,3,1,0,0,,5,0,0.00061,-25,3,1,0,0,0,7,7,63,1,,,,,,,,,,,,,,,,,,,,,
