key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Colour1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,Catch,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5efa10c6bb1e270bba6fb8d8,5ff3a3b2fd62fb9a4e4efc0e,2021-01-04_18h24.47.854,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,7,PF,-24,116.5,1,0,0,response7disk_5,7,0,1.363,-27,2.5,1,0,0,rectangle_8,-27,2.5,1,0,0,7,-27,2.5,1,0,0,0,5,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5efa10c6bb1e270bba6fb8d8,5ff3a3b2fd62fb9a4e4efc0e,2021-01-04_18h24.47.854,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,6,FF,22,-114.5,1,0,0,response3disk_5,3,4,2.296,19,-3.5,1,0,0,rectangle_8,19,-3.5,1,0,0,7,19,-3.5,1,0,0,0,6,6,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5efa10c6bb1e270bba6fb8d8,5ff3a3b2fd62fb9a4e4efc0e,2021-01-04_18h24.47.854,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,5,1.939,,,,,,,,,,,,,,,,,,,,,,,,,,space,70.907,5,130,-43.5,1,0,0,response3disk,8,1,34,-10.5,1,0,0,rectangle,34,-10.5,1,0,0,,4,0,0.002,34,-10.5,1,0,0,0,0,0,16,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5efa10c6bb1e270bba6fb8d8,5ff3a3b2fd62fb9a4e4efc0e,2021-01-04_18h24.47.854,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,6,1.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,100,56.5,1,0,0,response1disk,8,2,6,-6.5,1,0,0,rectangle,6,-6.5,1,0,0,,2,0,0.001,6,-6.5,1,0,0,0,1,1,44,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5efa10c6bb1e270bba6fb8d8,5ff3a3b2fd62fb9a4e4efc0e,2021-01-04_18h24.47.854,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,2,1.734,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,-68,-49.5,1,0,0,response5disk,3,3,-23,-16.5,1,0,0,rectangle,-23,-16.5,1,0,0,,6,0,0,-23,-16.5,1,0,0,0,2,2,89,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5efa10c6bb1e270bba6fb8d8,5ff3a3b2fd62fb9a4e4efc0e,2021-01-04_18h24.47.854,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,7,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,70,81.5,1,0,0,response1disk,1,4,5,12.5,1,0,0,rectangle,5,12.5,1,0,0,,5,0,0,5,12.5,1,0,0,0,3,3,96,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5efa10c6bb1e270bba6fb8d8,5ff3a3b2fd62fb9a4e4efc0e,2021-01-04_18h24.47.854,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,5,1.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,121,-53.5,1,0,0,response3disk,3,5,9,-17.5,1,0,0,rectangle,9,-17.5,1,0,0,,5,0,0.014,9,-17.5,1,0,0,0,4,4,26,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5efa10c6bb1e270bba6fb8d8,5ff3a3b2fd62fb9a4e4efc0e,2021-01-04_18h24.47.854,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,7,1.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,53,89.5,1,0,0,response1disk,5,6,23,9.5,1,0,0,rectangle,23,9.5,1,0,0,,0,0,0.001,23,9.5,1,0,0,0,5,5,82,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5efa10c6bb1e270bba6fb8d8,5ff3a3b2fd62fb9a4e4efc0e,2021-01-04_18h24.47.854,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,1,1.524,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,-114,40.5,1,0,0,response7disk,4,7,-3,5.5,1,0,0,rectangle,-3,5.5,1,0,0,,6,0,0.002,-3,5.5,1,0,0,0,6,6,30,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5efa10c6bb1e270bba6fb8d8,5ff3a3b2fd62fb9a4e4efc0e,2021-01-04_18h24.47.854,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,1,1.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,-77,38.5,1,0,0,response7disk,3,8,-12,-1.5,1,0,0,rectangle,-12,-1.5,1,0,0,,1,0,0.001,-12,-1.5,1,0,0,0,7,7,77,1,,,,,,,,,,,,,,,,,,,,,
